,本部変電所,地域共同変電所,大学会館変電所,図書館変電所,体育施設変電所
331,20.0,10.0,40.0,60.0,50.0
332,20.0,20.0,50.0,50.0,40.0
333,20.0,10.0,30.0,20.0,40.0
334,20.0,10.0,30.0,10.0,20.0
335,10.0,10.0,30.0,10.0,0.0
336,10.0,10.0,20.0,10.0,10.0
337,20.0,10.0,30.0,0.0,10.0
338,10.0,20.0,30.0,10.0,0.0
339,10.0,10.0,30.0,10.0,10.0
340,20.0,10.0,20.0,0.0,10.0
341,10.0,10.0,30.0,10.0,0.0
342,10.0,10.0,40.0,10.0,10.0
343,20.0,10.0,40.0,0.0,20.0
344,30.0,10.0,60.0,30.0,20.0
345,40.0,30.0,100.0,60.0,20.0
346,40.0,30.0,130.0,50.0,10.0
347,40.0,30.0,130.0,60.0,10.0
348,40.0,20.0,150.0,60.0,30.0
349,30.0,40.0,120.0,60.0,30.0
350,40.0,30.0,100.0,60.0,40.0
351,30.0,30.0,80.0,60.0,50.0
352,30.0,20.0,70.0,60.0,40.0
353,30.0,30.0,70.0,60.0,50.0
354,30.0,20.0,70.0,50.0,50.0
355,30.0,20.0,50.0,60.0,50.0
356,30.0,10.0,60.0,50.0,40.0
357,20.0,20.0,40.0,30.0,30.0
358,10.0,10.0,30.0,0.0,10.0
359,20.0,10.0,40.0,10.0,10.0
360,10.0,10.0,30.0,10.0,10.0
361,10.0,20.0,40.0,10.0,10.0
362,20.0,10.0,30.0,0.0,0.0
363,10.0,10.0,40.0,10.0,10.0
364,10.0,10.0,30.0,10.0,10.0
365,20.0,10.0,40.0,10.0,10.0
366,10.0,20.0,40.0,0.0,10.0
367,0.0,10.0,40.0,10.0,10.0
368,10.0,10.0,40.0,20.0,20.0
369,0.0,20.0,40.0,50.0,40.0
370,0.0,10.0,50.0,40.0,30.0
371,0.0,20.0,30.0,40.0,40.0
372,0.0,20.0,50.0,40.0,20.0
373,0.0,10.0,40.0,40.0,30.0
374,0.0,20.0,40.0,40.0,30.0
375,0.0,20.0,50.0,50.0,40.0
376,10.0,20.0,50.0,40.0,20.0
377,10.0,10.0,50.0,0.0,30.0
378,10.0,10.0,50.0,10.0,40.0
379,10.0,20.0,30.0,10.0,30.0
380,20.0,10.0,30.0,10.0,30.0
381,10.0,10.0,30.0,10.0,10.0
382,10.0,10.0,20.0,0.0,10.0
383,20.0,10.0,30.0,10.0,0.0
384,10.0,10.0,30.0,10.0,10.0
385,10.0,20.0,20.0,10.0,10.0
