,教養学部変電所,教育学部変電所,経済学部変電所
433,100.0,60.0,10.0
434,100.0,70.0,20.0
435,100.0,70.0,10.0
436,100.0,70.0,20.0
437,0.0,60.0,10.0
438,100.0,80.0,10.0
439,100.0,70.0,10.0
440,200.0,100.0,20.0
441,100.0,170.0,10.0
442,200.0,220.0,20.0
443,200.0,210.0,20.0
444,200.0,230.0,30.0
445,200.0,200.0,40.0
446,200.0,190.0,40.0
447,200.0,170.0,30.0
448,100.0,160.0,40.0
449,200.0,140.0,30.0
450,100.0,120.0,30.0
451,100.0,110.0,30.0
452,100.0,90.0,20.0
453,100.0,70.0,10.0
454,100.0,70.0,20.0
455,100.0,70.0,10.0
456,100.0,60.0,10.0
457,100.0,70.0,20.0
458,0.0,60.0,10.0
459,100.0,70.0,20.0
460,100.0,60.0,10.0
461,100.0,70.0,10.0
462,100.0,60.0,20.0
463,100.0,70.0,10.0
464,100.0,110.0,20.0
465,300.0,220.0,30.0
466,200.0,270.0,30.0
467,300.0,310.0,40.0
468,300.0,320.0,50.0
469,200.0,300.0,40.0
470,300.0,280.0,50.0
471,200.0,240.0,40.0
472,200.0,220.0,40.0
473,200.0,200.0,30.0
474,100.0,160.0,30.0
475,200.0,140.0,20.0
476,100.0,120.0,20.0
477,100.0,110.0,20.0
478,0.0,90.0,20.0
479,100.0,80.0,10.0
480,100.0,90.0,10.0
481,100.0,80.0,20.0
482,100.0,70.0,10.0
483,0.0,80.0,10.0
484,100.0,80.0,20.0
485,100.0,80.0,10.0
486,100.0,80.0,10.0
487,100.0,80.0,20.0
488,100.0,100.0,20.0
489,200.0,190.0,10.0
490,200.0,200.0,30.0
491,200.0,210.0,20.0
492,200.0,220.0,40.0
493,200.0,210.0,40.0
494,200.0,190.0,40.0
495,200.0,170.0,30.0
496,200.0,160.0,40.0
497,200.0,130.0,30.0
498,100.0,110.0,20.0
499,100.0,100.0,30.0
500,100.0,80.0,10.0
501,100.0,80.0,20.0
502,100.0,70.0,10.0
503,100.0,70.0,20.0
504,100.0,70.0,10.0
505,0.0,70.0,20.0
506,100.0,70.0,10.0
507,100.0,70.0,10.0
508,100.0,70.0,20.0
509,100.0,70.0,10.0
510,100.0,80.0,10.0
511,100.0,70.0,10.0
512,100.0,100.0,10.0
513,200.0,170.0,20.0
514,200.0,210.0,10.0
515,200.0,210.0,20.0
516,200.0,220.0,20.0
517,100.0,190.0,20.0
518,300.0,170.0,20.0
519,100.0,130.0,20.0
520,200.0,130.0,20.0
521,200.0,110.0,20.0
522,100.0,90.0,30.0
523,100.0,70.0,20.0
524,100.0,80.0,10.0
525,100.0,70.0,20.0
526,100.0,70.0,10.0
527,100.0,70.0,10.0
528,100.0,70.0,10.0
529,100.0,70.0,20.0
530,100.0,60.0,10.0
531,0.0,60.0,10.0
532,100.0,70.0,10.0
533,100.0,60.0,10.0
534,100.0,70.0,10.0
535,100.0,60.0,10.0
536,100.0,70.0,10.0
537,100.0,70.0,10.0
538,100.0,70.0,0.0
539,200.0,80.0,0.0
540,100.0,70.0,0.0
541,100.0,80.0,10.0
542,200.0,80.0,0.0
543,100.0,80.0,10.0
544,100.0,80.0,10.0
545,200.0,80.0,10.0
546,0.0,70.0,10.0
547,100.0,70.0,10.0
548,100.0,60.0,20.0
549,100.0,70.0,10.0
550,100.0,70.0,10.0
551,100.0,60.0,10.0
552,100.0,60.0,20.0
553,100.0,70.0,10.0
554,0.0,60.0,10.0
555,100.0,60.0,10.0
556,100.0,70.0,10.0
557,100.0,60.0,10.0
558,100.0,60.0,20.0
559,100.0,70.0,10.0
560,100.0,60.0,20.0
561,100.0,70.0,20.0
562,100.0,70.0,20.0
563,200.0,70.0,10.0
564,100.0,70.0,20.0
565,100.0,70.0,20.0
566,200.0,70.0,10.0
567,100.0,70.0,20.0
568,200.0,70.0,10.0
569,100.0,80.0,20.0
570,100.0,70.0,10.0
571,100.0,70.0,10.0
572,0.0,70.0,20.0
573,100.0,70.0,10.0
574,100.0,70.0,10.0
575,100.0,60.0,10.0
576,100.0,70.0,20.0
577,100.0,60.0,10.0
578,0.0,60.0,10.0
579,100.0,70.0,10.0
580,100.0,60.0,20.0
581,100.0,70.0,10.0
582,100.0,70.0,10.0
583,100.0,70.0,10.0
584,100.0,90.0,10.0
585,200.0,180.0,10.0
586,200.0,210.0,10.0
587,200.0,230.0,10.0
588,200.0,260.0,20.0
589,100.0,230.0,30.0
590,200.0,210.0,20.0
591,200.0,180.0,30.0
592,200.0,160.0,30.0
593,100.0,120.0,20.0
594,100.0,110.0,20.0
595,200.0,90.0,20.0
596,100.0,80.0,10.0
597,0.0,70.0,20.0
598,100.0,70.0,10.0
599,100.0,70.0,10.0
600,100.0,60.0,10.0
601,0.0,70.0,20.0
602,100.0,60.0,10.0
603,100.0,70.0,10.0
604,100.0,60.0,10.0
605,100.0,70.0,10.0
606,0.0,60.0,10.0
607,100.0,80.0,20.0
608,200.0,90.0,10.0
609,100.0,170.0,20.0
610,200.0,210.0,20.0
611,200.0,230.0,30.0
612,200.0,250.0,30.0
613,100.0,220.0,30.0
614,200.0,200.0,30.0
615,200.0,160.0,40.0
616,200.0,150.0,30.0
617,200.0,130.0,20.0
618,100.0,110.0,20.0
619,100.0,100.0,20.0
620,100.0,90.0,20.0
621,100.0,80.0,10.0
622,100.0,70.0,20.0
623,100.0,70.0,10.0
624,,,
625,,,
626,,,
627,,,
628,,,
629,,,
630,,,
631,,,
632,,,
633,,,
634,,,
635,,,
636,,,
637,,,
638,,,
639,,,
640,,,
641,,,
642,,,
643,,,
644,,,
645,,,
646,,,
647,,,
648,100.0,70.0,10.0
649,0.0,70.0,10.0
650,100.0,70.0,10.0
651,100.0,60.0,10.0
652,100.0,70.0,10.0
653,0.0,60.0,20.0
654,100.0,70.0,10.0
655,100.0,70.0,10.0
656,100.0,90.0,20.0
657,200.0,170.0,20.0
658,200.0,190.0,20.0
659,100.0,210.0,20.0
660,200.0,220.0,20.0
661,200.0,210.0,30.0
662,200.0,200.0,30.0
663,200.0,150.0,30.0
664,100.0,140.0,30.0
665,200.0,120.0,20.0
666,100.0,110.0,30.0
667,100.0,100.0,20.0
668,100.0,70.0,20.0
669,100.0,80.0,10.0
670,100.0,60.0,10.0
671,100.0,60.0,20.0
672,0.0,70.0,10.0
673,100.0,60.0,10.0
674,100.0,60.0,10.0
675,100.0,60.0,20.0
676,0.0,70.0,10.0
677,100.0,60.0,10.0
678,100.0,60.0,10.0
679,100.0,70.0,20.0
680,0.0,70.0,10.0
681,100.0,70.0,10.0
682,100.0,70.0,10.0
683,100.0,80.0,10.0
684,100.0,80.0,10.0
685,100.0,80.0,10.0
686,0.0,70.0,20.0
687,100.0,80.0,10.0
688,100.0,80.0,20.0
689,100.0,70.0,10.0
690,100.0,80.0,20.0
691,100.0,70.0,10.0
692,100.0,70.0,20.0
693,100.0,70.0,10.0
694,0.0,70.0,10.0
695,100.0,70.0,20.0
696,100.0,60.0,10.0
697,100.0,60.0,10.0
698,0.0,70.0,20.0
699,100.0,60.0,10.0
700,100.0,60.0,10.0
701,100.0,60.0,20.0
702,0.0,70.0,10.0
703,100.0,60.0,0.0
704,100.0,70.0,10.0
705,100.0,70.0,0.0
706,100.0,70.0,0.0
707,0.0,70.0,0.0
708,100.0,80.0,0.0
709,100.0,70.0,10.0
710,100.0,70.0,0.0
711,100.0,70.0,10.0
712,100.0,70.0,10.0
713,0.0,70.0,10.0
714,100.0,70.0,10.0
715,100.0,70.0,20.0
716,100.0,70.0,10.0
717,100.0,70.0,10.0
718,100.0,70.0,20.0
719,0.0,60.0,10.0
720,100.0,70.0,10.0
721,100.0,60.0,20.0
722,100.0,60.0,10.0
723,0.0,60.0,10.0
724,100.0,60.0,10.0
725,100.0,60.0,20.0
726,100.0,70.0,10.0
727,100.0,60.0,10.0
728,100.0,60.0,10.0
729,100.0,70.0,10.0
730,100.0,70.0,10.0
731,100.0,60.0,20.0
732,100.0,70.0,0.0
733,200.0,60.0,20.0
734,100.0,70.0,10.0
735,100.0,60.0,20.0
736,100.0,70.0,10.0
737,100.0,70.0,20.0
738,100.0,70.0,10.0
739,100.0,70.0,20.0
740,100.0,70.0,10.0
741,100.0,70.0,10.0
742,100.0,60.0,20.0
743,100.0,70.0,10.0
744,100.0,60.0,10.0
745,0.0,70.0,20.0
746,100.0,70.0,10.0
747,100.0,60.0,10.0
748,100.0,70.0,10.0
749,0.0,70.0,20.0
750,100.0,70.0,10.0
751,100.0,60.0,10.0
752,100.0,70.0,0.0
753,0.0,80.0,10.0
754,100.0,70.0,10.0
755,100.0,80.0,10.0
756,100.0,80.0,10.0
757,100.0,90.0,10.0
758,100.0,80.0,20.0
759,100.0,80.0,20.0
760,100.0,80.0,10.0
761,0.0,80.0,30.0
762,100.0,80.0,10.0
763,100.0,70.0,20.0
764,100.0,70.0,20.0
765,100.0,70.0,10.0
766,100.0,60.0,20.0
767,0.0,60.0,10.0
768,100.0,70.0,10.0
769,100.0,60.0,20.0
770,100.0,60.0,10.0
771,0.0,60.0,20.0
772,100.0,60.0,10.0
773,100.0,60.0,10.0
774,100.0,70.0,20.0
775,0.0,60.0,10.0
776,100.0,70.0,0.0
777,100.0,70.0,10.0
778,100.0,60.0,0.0
779,100.0,70.0,0.0
780,0.0,80.0,0.0
781,100.0,70.0,10.0
782,100.0,70.0,0.0
783,100.0,70.0,10.0
784,100.0,80.0,10.0
785,0.0,70.0,10.0
786,100.0,70.0,20.0
787,100.0,70.0,10.0
788,100.0,60.0,20.0
789,100.0,70.0,10.0
790,100.0,60.0,10.0
791,0.0,60.0,20.0
792,100.0,60.0,10.0
793,100.0,60.0,10.0
794,100.0,60.0,20.0
795,0.0,60.0,10.0
796,100.0,60.0,10.0
797,100.0,60.0,20.0
798,100.0,60.0,10.0
799,0.0,60.0,10.0
800,100.0,70.0,0.0
801,100.0,60.0,10.0
802,100.0,70.0,0.0
803,0.0,70.0,0.0
804,100.0,70.0,10.0
805,100.0,70.0,0.0
806,100.0,70.0,10.0
807,100.0,70.0,0.0
808,100.0,70.0,20.0
809,0.0,80.0,10.0
810,100.0,70.0,10.0
811,100.0,70.0,20.0
812,100.0,60.0,10.0
813,100.0,70.0,10.0
814,100.0,60.0,20.0
815,0.0,60.0,10.0
816,100.0,60.0,10.0
817,100.0,70.0,10.0
818,100.0,50.0,20.0
819,0.0,70.0,10.0
820,100.0,60.0,10.0
821,100.0,60.0,10.0
822,0.0,60.0,10.0
823,100.0,70.0,10.0
824,100.0,60.0,10.0
825,100.0,80.0,0.0
826,100.0,70.0,0.0
827,0.0,80.0,10.0
828,100.0,80.0,0.0
829,100.0,80.0,0.0
830,100.0,70.0,10.0
831,100.0,80.0,10.0
832,0.0,80.0,10.0
833,100.0,80.0,10.0
834,100.0,70.0,20.0
835,100.0,70.0,20.0
836,100.0,60.0,10.0
837,100.0,70.0,10.0
838,0.0,60.0,20.0
839,100.0,70.0,10.0
840,100.0,60.0,10.0
841,100.0,60.0,20.0
842,0.0,60.0,10.0
843,100.0,70.0,10.0
844,100.0,60.0,10.0
845,0.0,60.0,20.0
846,100.0,60.0,10.0
847,100.0,70.0,0.0
848,200.0,80.0,20.0
849,100.0,160.0,10.0
850,200.0,200.0,10.0
851,100.0,200.0,20.0
852,200.0,210.0,10.0
853,200.0,180.0,20.0
854,200.0,160.0,20.0
855,100.0,120.0,20.0
856,200.0,100.0,20.0
857,100.0,100.0,20.0
858,100.0,80.0,20.0
859,100.0,80.0,20.0
860,100.0,70.0,20.0
861,100.0,70.0,10.0
862,100.0,70.0,10.0
863,100.0,60.0,10.0
864,0.0,60.0,20.0
865,100.0,60.0,10.0
866,100.0,60.0,10.0
867,100.0,60.0,10.0
868,0.0,60.0,10.0
869,100.0,70.0,10.0
870,100.0,60.0,10.0
871,100.0,60.0,10.0
872,100.0,70.0,0.0
873,100.0,60.0,10.0
874,100.0,70.0,0.0
875,100.0,70.0,10.0
876,100.0,70.0,10.0
877,100.0,70.0,0.0
878,100.0,70.0,10.0
879,100.0,70.0,0.0
880,100.0,80.0,10.0
881,100.0,70.0,10.0
882,100.0,70.0,20.0
883,100.0,70.0,10.0
884,100.0,70.0,10.0
885,100.0,60.0,10.0
886,100.0,70.0,10.0
887,0.0,60.0,10.0
888,100.0,60.0,20.0
889,100.0,70.0,10.0
890,100.0,60.0,10.0
891,0.0,60.0,10.0
892,100.0,60.0,10.0
893,100.0,60.0,10.0
894,0.0,60.0,10.0
895,100.0,70.0,0.0
896,100.0,60.0,10.0
897,100.0,70.0,0.0
898,0.0,70.0,10.0
899,100.0,60.0,10.0
900,100.0,70.0,0.0
901,100.0,70.0,10.0
902,100.0,60.0,20.0
903,0.0,70.0,10.0
904,100.0,70.0,10.0
905,100.0,70.0,20.0
906,100.0,70.0,10.0
907,100.0,70.0,10.0
908,0.0,60.0,20.0
909,100.0,70.0,10.0
910,100.0,60.0,10.0
911,100.0,60.0,10.0
912,100.0,70.0,20.0
913,0.0,60.0,10.0
914,100.0,60.0,10.0
915,100.0,60.0,10.0
916,0.0,60.0,10.0
917,100.0,60.0,10.0
918,100.0,70.0,10.0
919,100.0,60.0,20.0
920,100.0,100.0,10.0
921,200.0,170.0,20.0
922,200.0,210.0,20.0
923,200.0,210.0,30.0
924,200.0,230.0,30.0
925,200.0,200.0,40.0
926,200.0,180.0,40.0
927,200.0,160.0,40.0
928,200.0,150.0,30.0
929,100.0,130.0,30.0
930,200.0,110.0,30.0
931,100.0,100.0,20.0
932,100.0,80.0,20.0
933,100.0,80.0,10.0
934,100.0,70.0,10.0
935,100.0,70.0,20.0
936,0.0,70.0,10.0
937,100.0,70.0,10.0
938,100.0,60.0,10.0
939,100.0,70.0,10.0
940,0.0,60.0,10.0
941,100.0,70.0,20.0
942,100.0,60.0,10.0
943,100.0,80.0,10.0
944,100.0,90.0,10.0
945,100.0,160.0,10.0
946,200.0,210.0,10.0
947,200.0,220.0,10.0
948,200.0,230.0,30.0
949,200.0,200.0,20.0
950,200.0,180.0,30.0
951,100.0,150.0,30.0
952,200.0,140.0,20.0
953,100.0,130.0,30.0
954,200.0,110.0,20.0
955,100.0,110.0,20.0
956,100.0,80.0,20.0
957,100.0,70.0,20.0
958,100.0,70.0,10.0
959,0.0,70.0,10.0
960,100.0,70.0,10.0
961,100.0,60.0,10.0
962,100.0,60.0,10.0
963,100.0,70.0,10.0
964,0.0,60.0,10.0
965,100.0,70.0,20.0
966,100.0,60.0,0.0
967,100.0,70.0,10.0
968,100.0,100.0,10.0
969,200.0,170.0,10.0
970,200.0,220.0,20.0
971,200.0,240.0,20.0
972,200.0,250.0,40.0
973,100.0,220.0,30.0
974,200.0,180.0,30.0
975,200.0,160.0,30.0
976,200.0,150.0,30.0
977,100.0,140.0,20.0
978,200.0,110.0,20.0
979,100.0,100.0,20.0
980,100.0,80.0,20.0
981,100.0,70.0,10.0
982,100.0,70.0,10.0
983,100.0,60.0,20.0
984,100.0,70.0,10.0
985,0.0,70.0,10.0
986,100.0,60.0,10.0
987,100.0,70.0,10.0
988,100.0,60.0,20.0
989,0.0,60.0,10.0
990,100.0,70.0,10.0
991,100.0,70.0,10.0
992,200.0,80.0,20.0
993,100.0,170.0,20.0
994,200.0,200.0,20.0
995,200.0,220.0,20.0
996,200.0,230.0,30.0
997,200.0,220.0,40.0
998,100.0,180.0,40.0
999,200.0,150.0,30.0
1000,200.0,140.0,40.0
1001,100.0,130.0,20.0
1002,200.0,100.0,30.0
1003,100.0,90.0,20.0
1004,100.0,80.0,10.0
1005,100.0,70.0,20.0
1006,100.0,70.0,10.0
